Date,Predicted
2024-01-01,10520.422004574491
2024-01-02,10514.1376268015
2024-01-03,10526.406562687715
2024-01-04,10527.627426218009
2024-01-05,10535.204378808727
2024-01-08,10539.143258489465
2024-01-09,10545.162865838694
2024-01-10,10549.992580967399
2024-01-11,10555.502739736261
2024-01-12,10560.623785724045
2024-01-15,10565.967346382846
2024-01-16,10571.18366173373
2024-01-17,10576.472742480955
2024-01-18,10581.720212240842
2024-01-19,10586.99147729841
2024-01-23,10592.249134983793
2024-01-24,10597.514574062807
2024-01-25,10602.775563341667
2024-01-29,10608.03909724458
2024-01-30,10613.301176000892
