Date,Actual Price,LSTM Forecast,ARIMA Forecast,Ensemble
2024-01-01,1698.0999755859375,1627.0844,1709.526262281508,1668.3053311407539
2024-01-02,1699.0999755859375,1615.5287,1709.7176561613378,1662.6231780806688
2024-01-03,1672.9000244140625,1591.9683,1710.168984567053,1651.0686422835265
2024-01-04,1690.8499755859375,1562.0226,1710.6922975471427,1636.3574487735714
2024-01-05,1682.199951171875,1530.9747,1711.2141305904713,1621.0944152952356
2024-01-08,1663.449951171875,1503.4088,1711.730151563563,1607.5694757817814
2024-01-09,1650.5,1482.9337,1712.2448181694442,1597.589259084722
2024-01-10,1655.949951171875,1471.8792,1712.759582241787,1592.3193911208937
2024-01-11,1649.0,1471.0624,1713.2744732295907,1592.1684366147954
2024-01-12,1641.199951171875,1480.0281,1713.789388869742,1596.908744434871
2024-01-15,1672.800048828125,1497.2585,1714.30430113983,1605.781400569915
2024-01-16,1679.1500244140625,1520.4672,1714.819210697181,1617.6432053485905
2024-01-17,1537.5,1546.9663,1715.3341198248256,1631.1502099124127
2024-01-18,1486.1500244140625,1574.0126,1715.8490290490288,1644.9308145245145
2024-01-19,1470.6500244140625,1599.1377,1716.3639383300565,1657.7508191650281
2024-01-23,1427.3499755859375,1620.6948,1716.8788476181232,1668.7868238090616
2024-01-24,1455.9000244140625,1637.5161,1717.3937569036727,1677.4549284518364
2024-01-25,1434.9000244140625,1649.1696,1717.9086661880551,1683.5391330940274
2024-01-29,1454.6500244140625,1656.0125,1718.4235754723338,1687.218037736167
2024-01-30,1444.300048828125,1658.6755,1718.938484756674,1688.8069923783369
