Date,Actual Price,LSTM Forecast,ARIMA Forecast,Ensemble
2024-01-01,1598.8499755859375,1530.4331,1598.3869892248,1564.4100446123998
2024-01-02,1575.5999755859375,1527.5863,1597.842897088149,1562.7145985440743
2024-01-03,1601.1500244140625,1518.1252,1598.0843637483902,1558.104781874195
2024-01-04,1648.550048828125,1505.2512,1597.92208704697,1551.586643523485
2024-01-05,1643.199951171875,1491.5867,1598.024619921018,1544.805659960509
2024-01-08,1627.0999755859375,1479.1447,1597.9615016894236,1538.553100844712
2024-01-09,1625.0999755859375,1469.3687,1598.0028887700414,1533.6857943850207
2024-01-10,1640.1500244140625,1463.0498,1597.97844761813,1530.514123809065
2024-01-11,1657.8499755859375,1460.2947,1597.9954834933874,1529.1450917466937
2024-01-12,1674.0,1460.7953,1597.9863868677608,1529.3908434338805
2024-01-15,1688.8499755859375,1464.4497,1597.9937551131598,1531.22172755658
2024-01-16,1667.050048828125,1470.8926,1597.990749627965,1534.4416748139824
2024-01-17,1643.9000244140625,1479.3466,1597.9942801380405,1538.6704400690203
2024-01-18,1612.9000244140625,1488.9374,1597.9936926279463,1543.4655463139732
2024-01-19,1561.0999755859375,1498.7203,1597.995699686787,1548.3579998433934
2024-01-23,1441.699951171875,1508.2668,1597.996072030967,1553.1314360154836
2024-01-24,1490.8499755859375,1516.9867,1597.9974743312168,1557.4920871656084
2024-01-25,1512.0,1524.6045,1597.998227705063,1561.3013638525315
2024-01-29,1526.800048828125,1531.1819,1597.9993899366166,1564.5906449683084
2024-01-30,1519.9000244140625,1536.8837,1598.0002945663466,1567.4419972831734
