Date,Actual Price,LSTM Forecast,ARIMA Forecast,Ensemble
2024-01-01,1703.300048828125,1667.8871,1730.8459770080462,1699.366538504023
2024-01-02,1656.199951171875,1654.5985,1732.1277248834522,1693.3631124417261
2024-01-03,1655.25,1632.3672,1734.3043988502675,1683.3357994251337
2024-01-04,1641.699951171875,1607.3353,1737.4177591622758,1672.376529581138
2024-01-05,1642.0,1584.4625,1736.328846026538,1660.395673013269
2024-01-08,1616.1500244140625,1567.3074,1736.554638817611,1651.9310194088055
2024-01-09,1629.9000244140625,1557.8057,1738.457950278138,1648.131825139069
2024-01-10,1632.800048828125,1556.0714,1739.2744998826165,1647.6729499413082
2024-01-11,1628.6500244140625,1561.4124,1739.6262660830653,1650.5193330415327
2024-01-12,1624.449951171875,1572.5314,1740.3762722255042,1656.453836112752
2024-01-15,1635.550048828125,1587.9111,1741.3413656270932,1664.6262328135467
2024-01-16,1620.3499755859375,1605.7555,1742.151193383285,1673.9533466916425
2024-01-17,1597.699951171875,1624.1191,1742.822353571096,1683.4707267855479
2024-01-18,1617.25,1641.5436,1743.58401796015,1692.563808980075
2024-01-19,1655.550048828125,1656.5483,1744.4161363902865,1700.482218195143
2024-01-23,1595.199951171875,1668.3093,1745.1955456802318,1706.7524228401157
2024-01-24,1628.0999755859375,1676.5243,1745.94425146499,1711.234275732495
2024-01-25,1635.5,1681.4922,1746.7195460812509,1714.1058730406253
2024-01-29,1640.0,1683.8688,1747.5088038213764,1715.6888019106882
2024-01-30,1620.3499755859375,1684.4047,1748.2850868284052,1716.3448934142025
