Date,Actual Price,LSTM Forecast,ARIMA Forecast,Ensemble
2024-01-01,10283.2998046875,10070.989,10304.777257233378,10187.88312861669
2024-01-02,10197.75,10070.938,10307.577451093954,10189.257725546977
2024-01-03,10077.650390625,10087.854,10309.820242795857,10198.837121397928
2024-01-04,10015.2998046875,10120.22,10312.12236993316,10216.17118496658
2024-01-05,10017.0,10163.905,10314.408632277557,10239.156816138779
2024-01-08,9946.7001953125,10214.835,10316.697482171863,10265.76624108593
2024-01-09,10024.099609375,10267.391,10318.985795929057,10293.188397964528
2024-01-10,10010.2001953125,10315.519,10321.274207870489,10318.396603935245
2024-01-11,10011.099609375,10353.226,10323.562600682715,10338.394300341359
2024-01-12,9965.650390625,10377.107,10325.850997106229,10351.478998553113
2024-01-15,10086.900390625,10385.372,10328.139392837038,10356.755696418519
2024-01-16,10183.5498046875,10377.751,10330.42778869965,10354.089394349825
2024-01-17,10051.7001953125,10355.985,10332.71618453708,10344.35059226854
2024-01-18,9924.5,10322.321,10335.004580379313,10328.662790189657
2024-01-19,10037.7001953125,10279.374,10337.292976220628,10308.333488110315
2024-01-23,9860.4501953125,10230.53,10339.581372062115,10285.055686031057
2024-01-24,9988.2001953125,10181.003,10341.869767903574,10261.436383951786
2024-01-25,9881.0,10135.465,10344.158163745038,10239.81158187252
2024-01-29,9991.400390625,10097.397,10346.4465595865,10221.92177979325
2024-01-30,9951.650390625,10068.373,10348.734955427964,10208.553977713982
