Date,Actual Price,LSTM Forecast,ARIMA Forecast,Ensemble
2024-01-01,10464.0,9847.418,10520.422004574491,10183.920002287246
2024-01-02,10204.7001953125,9766.079,10514.1376268015,10140.10831340075
2024-01-03,10111.5498046875,9581.885,10526.406562687716,10054.145781343857
2024-01-04,10014.7998046875,9339.698,10527.627426218009,9933.662713109004
2024-01-05,10016.0498046875,9080.07,10535.204378808729,9807.637189404364
2024-01-08,9934.5,8839.321,10539.143258489465,9689.232129244732
2024-01-09,9899.099609375,8646.768,10545.162865838694,9595.965432919347
2024-01-10,9776.2001953125,8524.799,10549.9925809674,9537.3957904837
2024-01-11,9920.4501953125,8485.489,10555.50273973626,9520.49586986813
2024-01-12,9808.4501953125,8528.801,10560.623785724045,9544.712392862022
2024-01-15,9954.5498046875,8645.696,10565.967346382846,9605.831673191424
2024-01-16,9969.599609375,8819.681,10571.18366173373,9695.432330866865
2024-01-17,9854.650390625,9029.027,10576.472742480955,9802.749871240478
2024-01-18,9892.25,9252.212,10581.720212240842,9916.96610612042
2024-01-19,10093.7001953125,9468.131,10586.99147729841,10027.561238649205
2024-01-23,9831.0,9660.131,10592.249134983793,10126.190067491896
2024-01-24,9990.5,9818.137,10597.514574062809,10207.825787031405
2024-01-25,9969.349609375,9937.909,10602.775563341667,10270.342281670833
2024-01-29,10274.0498046875,10021.447,10608.03909724458,10314.743048622291
2024-01-30,9963.599609375,10073.71,10613.301176000892,10343.505588000446
